id,uuid,observed_on,time_observed_at,time_zone,user_name,created_at,quality_grade,url,image_url,sound_url,description,num_identification_agreements,num_identification_disagreements,place_guess,latitude,longitude,private_place_guess,private_latitude,private_longitude,geoprivacy,coordinates_obscured,place_town_name,species_guess,scientific_name,common_name
2478897,0520a1bc-040e-4aa7-a055-a334bfb235d7,2015-12-14,,Pacific Time (US & Canada),Wendy Feltham,2015-12-15 02:18:17 UTC,research,http://www.inaturalist.org/observations/2478897,https://inaturalist-open-data.s3.amazonaws.com/photos/2776822/medium.jpg,,A dozen Killer Whales from J Pod were swimming off Whidbey today. We watched from Pt. Wilson. Wish I had been closer for better photos!,7,0,"Washington, US",48.0985052113,-122.7354552849,,,,,true,,Orca,Orcinus orca,Orca
2808012,d15008bd-422d-49c7-bf7f-7dcaa93e24ce,2015-07-22,2015-07-23 02:45:05 UTC,Pacific Time (US & Canada),Phil,2016-03-20 15:26:20 UTC,research,http://www.inaturalist.org/observations/2808012,https://inaturalist-open-data.s3.amazonaws.com/photos/3190371/medium.jpeg,,"",11,0,"San Juan County, US-WA, US",48.5859473783,-123.0451063749,,,,,true,,Orca,Orcinus orca,Orca
3145797,61a0ccb1-f503-4f3b-ac7a-abbbc86fa3bb,2016-04-27,2016-04-27 21:20:01 UTC,Eastern Time (US & Canada),,2016-05-11 02:47:29 UTC,research,http://www.inaturalist.org/observations/3145797,https://inaturalist-open-data.s3.amazonaws.com/photos/3638169/medium.JPG,,,9,0,"Washington, US",48.5946804411,-122.6480310277,,,,,true,,Orca,Orcinus orca,Orca
3211081,ced45cb1-980d-4ce4-8c74-7dcddfcc28e4,2015-11-06,2015-11-06 08:59:01 UTC,Pacific Time (US & Canada),,2016-05-19 07:47:48 UTC,research,http://www.inaturalist.org/observations/3211081,https://inaturalist-open-data.s3.amazonaws.com/photos/3717603/medium.jpg,,,8,0,"Washington, US",47.203809173,-122.3727905895,,,,,true,,Orca,Orcinus orca,Orca
3270537,1b397daa-774c-43cb-9f0d-5b60ec8ff465,2014-07-16,,Eastern Time (US & Canada),"",2016-05-22 17:29:54 UTC,research,http://www.inaturalist.org/observations/3270537,https://inaturalist-open-data.s3.amazonaws.com/photos/3781352/medium.JPG,,"The individual shown is Nigel/L-95 of the Southern Resident community, who was found deceased on March 30th, 2016 in Sooke, British Columbia. ",7,0,"Washington, US",48.5161685904,-123.003990978,,,,,true,,Orca,Orcinus orca,Orca
3656919,bcbf30c2-eef0-46be-bba7-05a79c3e74d4,2016-07-05,2016-07-05 18:03:00 UTC,Central Time (US & Canada),Jason Penney,2016-07-10 23:11:41 UTC,research,http://www.inaturalist.org/observations/3656919,https://static.inaturalist.org/photos/4233204/medium.jpg,,"While vacationing in the San Juan Islands between Victoria, B.C. and Washington state, we were watching a pod of Orca's when they began to hunt and chase something. As you can see, it became evident pretty quick that a little harbour porpoise (Phocoena phocoena) was on their dinner plans. They chased the poor guy to the surface, jumped over him and landed on him until it was over. As brutal as it was to watch, the Orca's have to eat. Some are fish eaters, some are marine mammal eaters. We found out what these were..
",17,0,"Washington, US",48.4584321333,-122.9838011163,,,,,true,,Orcinus orca,Orcinus orca,Orca
3659275,32558d4d-6f22-4e03-84bc-4977c4ea787d,2016-07-05,2016-07-05 18:02:59 UTC,Central Time (US & Canada),Jason Penney,2016-07-11 07:39:53 UTC,research,http://www.inaturalist.org/observations/3659275,https://static.inaturalist.org/photos/4236644/medium.jpg,,"While vacationing in the San Juan Islands between Victoria, B.C. and Washington state, we were watching a pod of Orca's when they began to hunt and chase something. As you can see, it became evident pretty quick that a little harbour porpoise (Phocoena phocoena) was on their dinner plans. They chased the poor guy to the surface, jumped over him and landed on him until it was over. As brutal as it was to watch, the Orca's have to eat. Some are fish eaters, some are marine mammal eaters. We found out what these were..

This may come out a bit small here but I thought it was an interesting observation. SO I thought I'd give it a shot. To view large, click below. 
http://c2.staticflickr.com/8/7349/27619692714_0093b087c5_o.jpg",6,0,"Washington, US",48.4007527902,-122.9764660727,,,,,true,,Orca,Orcinus orca,Orca
3669354,08bbb4f8-d500-4d3a-abae-ed9ceeeb3631,2016-07-12,2016-07-13 00:25:04 UTC,Pacific Time (US & Canada),Otis Chandler,2016-07-13 00:27:18 UTC,research,http://www.inaturalist.org/observations/3669354,https://static.inaturalist.org/photos/4249323/medium.jpg,,,4,0,"San Juan County, US-WA, US",48.4684465754,-123.1843971031,,,,,true,,Orca,Orcinus orca,Orca
3769906,d63d7536-cdcc-481a-a619-57c1a67469d0,2006-06-07,2006-06-07 06:44:00 UTC,Eastern Time (US & Canada),Tim Guida,2016-07-30 13:46:12 UTC,research,http://www.inaturalist.org/observations/3769906,https://inaturalist-open-data.s3.amazonaws.com/photos/4393576/medium.jpeg,,          ,6,0,"Washington, US",48.4517026494,-123.1744074836,,,,,true,,Orca,Orcinus orca,Orca
4036666,53c69da0-5ca9-4dad-a25e-ae79a1698a87,2016-09-02,2016-09-03 09:55:00 UTC,Hawaii,Kate Pfeilschiefter,2016-09-05 00:25:50 UTC,research,http://www.inaturalist.org/observations/4036666,https://inaturalist-open-data.s3.amazonaws.com/photos/4774222/medium.jpg,,"Orcas, probably members of J and L pod. Around the San Juans, north of Anacortes. Location isn't exact.",10,0,"Whatcom County, US-WA, US",48.9539002862,-122.9415760238,,,,,true,,Orcinus orca,Orcinus orca,Orca
4081955,877c41f4-ad83-4630-856e-4b4844c4af23,2016-09-03,,Central Time (US & Canada),"",2016-09-11 00:25:33 UTC,research,http://www.inaturalist.org/observations/4081955,https://inaturalist-open-data.s3.amazonaws.com/photos/4842558/medium.jpeg,,"",6,0,"Washington, US",48.4919246488,-123.0649337121,,,,,true,,Orca,Orcinus orca,Orca
4084464,5d4bbd19-f3c4-449f-bd11-3b56ba4c1f48,2014-08-30,2014-08-30 21:44:00 UTC,Hawaii,Kate Turner,2016-09-11 07:55:24 UTC,research,http://www.inaturalist.org/observations/4084464,https://inaturalist-open-data.s3.amazonaws.com/photos/4846433/medium.jpeg,,                               ,6,0,"Washington, US",48.4927657789,-123.1131350662,,,,,true,,Orca,Orcinus orca,Orca
4090172,2d8e15e8-ae99-4efa-8e20-8b697d1c3f03,2016-08-26,2016-08-26 20:10:00 UTC,Hawaii,Kate Turner,2016-09-12 00:42:19 UTC,research,http://www.inaturalist.org/observations/4090172,https://inaturalist-open-data.s3.amazonaws.com/photos/4854733/medium.jpeg,,                               ,5,0,"Washington, US",48.4221478181,-123.0098392571,,,,,true,,Orca,Orcinus orca,Orca
4531344,afe4208d-1072-45b5-bcb6-82d1f0ebf270,2016-11-06,,Eastern Time (US & Canada),"",2016-11-11 16:47:37 UTC,research,http://www.inaturalist.org/observations/4531344,https://inaturalist-open-data.s3.amazonaws.com/photos/5489433/medium.jpg,,ecoEXPLORE Username: Ablackford,11,0,"Washington, US",48.3582245258,-123.0284101103,,,,,true,,Orca,Orcinus orca,Orca
4794466,a2b4d6c5-f105-45b1-9fce-5cc5ed2cded2,2011-05-28,2011-05-28 18:49:58 UTC,Eastern Time (US & Canada),"",2016-12-19 12:54:24 UTC,research,https://www.inaturalist.org/observations/4794466,https://static.inaturalist.org/photos/5844203/medium.jpg,,Killer whale_20110528_Puget Sound,7,0,"Washington, US",48.7345990744,-122.7716557721,,,,,true,,Orca,Orcinus orca,Orca
4857257,1d688cee-dc22-42bc-b938-ac75653e02cd,2016-05-24,2016-05-24 16:25:00 UTC,Hawaii,Lee Cain,2016-12-28 15:41:45 UTC,research,https://www.inaturalist.org/observations/4857257,https://inaturalist-open-data.s3.amazonaws.com/photos/5897429/medium.jpeg,,,4,0,"Clallam County, US-WA, US",48.0080517746,-123.2742760725,,,,,true,,Orca,Orcinus orca,Orca
5764638,4286b551-403b-4d80-b555-461b20d0bd02,2016-08-08,,Pacific Time (US & Canada),Diego Tamayo,2017-04-16 20:06:14 UTC,research,https://www.inaturalist.org/observations/5764638,https://inaturalist-open-data.s3.amazonaws.com/photos/7156024/medium.jpeg,,"The cetacean was large, and had a slim, tall fin. It wasn't a baleen whale, and was too large and dark to be a smaller dolphin. The gray saddle patch was also present. A pod of four swam in this Ocean region.",7,0,"Washington, US",48.47427829,-122.9826227078,,,,,true,,Orca,Orcinus orca,Orca
5820242,a3875863-daef-4a76-954b-96d92fb2d7d1,2017-04-15,2017-04-15 21:15:00 UTC,Pacific Time (US & Canada),Kersti Muul,2017-04-18 14:45:29 UTC,research,https://www.inaturalist.org/observations/5820242,https://inaturalist-open-data.s3.amazonaws.com/photos/7239025/medium.jpg,,"Transient Orcas T102 (large bull) with his Mother T101, traveling South at 2:15 PM past the Lighthouse at Alki. All pictures taken from shore",9,0,"Washington, US",47.424608628,-122.5471453123,,,,,true,,Orca,Orcinus orca,Orca
5820243,798f5722-8169-4585-b846-6373ee7539c9,2017-04-15,2017-04-15 21:15:00 UTC,Pacific Time (US & Canada),Kersti Muul,2017-04-18 14:45:29 UTC,research,https://www.inaturalist.org/observations/5820243,https://inaturalist-open-data.s3.amazonaws.com/photos/7239179/medium.jpg,,"Transient Orcas T102 (large bull) with his Mother T101, traveling South at 2:15 PM past the Lighthouse at Alki. All pictures taken from shore",7,0,"Washington, US",47.435162918,-122.5653100729,,,,,true,,Orca,Orcinus orca,Orca
5820244,e22d3a59-9297-40a4-b2a4-ccf191c3e3ce,2017-04-15,2017-04-15 21:15:00 UTC,Pacific Time (US & Canada),Kersti Muul,2017-04-18 14:45:30 UTC,research,https://www.inaturalist.org/observations/5820244,https://inaturalist-open-data.s3.amazonaws.com/photos/7239030/medium.jpg,,Transient Orca T102 (large bull) traveling South at 2:15 PM past the Lighthouse at Alki. All pictures taken from shore,7,0,"Washington, US",47.4170202037,-122.5899824325,,,,,true,,Orca,Orcinus orca,Orca
5871539,fd21c1d2-ce6d-48af-86a6-79fb4ecede08,2015-06-18,,Hawaii,Joel DuBois,2017-04-20 15:30:35 UTC,research,https://www.inaturalist.org/observations/5871539,https://inaturalist-open-data.s3.amazonaws.com/photos/7412337/medium.jpeg,,"",7,0,"Washington, US",48.5831671737,-122.8749887455,,,,,true,,Orca,Orcinus orca,Orca
6033118,05baeb54-e497-4d2e-83a9-a9f39cefb052,2010-03-11,2010-03-11 17:24:00 UTC,Central Time (US & Canada),Tracey Prothro,2017-05-01 03:30:59 UTC,research,https://www.inaturalist.org/observations/6033118,https://inaturalist-open-data.s3.amazonaws.com/photos/7553780/medium.jpg,,"Not a great picture,  but there was a whole pod of them!",5,0,"Clallam County, US-WA, US",48.1258858564,-123.5083942081,,,,,true,,Orca,Orcinus orca,Orca
6087094,dc8ca4db-5f8e-46cb-9c70-5300b1ee27f8,2017-05-03,2017-05-04 01:33:00 UTC,Pacific Time (US & Canada),Brandon Hawn,2017-05-04 08:19:53 UTC,research,https://www.inaturalist.org/observations/6087094,https://inaturalist-open-data.s3.amazonaws.com/photos/7612754/medium.jpg,,At least three observed heading south along the east side of the north end of Harstine Island.  Pod was being buzzed by several boats and jet skies.,5,0,"Washington, US",47.255240539,-122.997435165,,,,,true,,Orca,Orcinus orca,Orca
6469343,aa7d34f5-46bf-439a-bad6-cd681df53e05,2016-08-08,2016-08-08 21:00:00 UTC,Pacific Time (US & Canada),Diego Tamayo,2017-06-02 18:43:00 UTC,research,https://www.inaturalist.org/observations/6469343,https://inaturalist-open-data.s3.amazonaws.com/photos/8180510/medium.jpeg,,"The cetacean was large, and had a slim, tall fin. It wasn't a baleen whale, and was too large and dark to be a smaller dolphin. The white eye patch was also present. A pod of four swam in this Ocean region.",6,0,"Washington, US",48.4191368674,-122.970902552,,,,,true,,Orca,Orcinus orca,Orca
6661009,2ae0aa79-6609-4999-afd2-87ae73f1cdb8,2016-05-20,2016-05-20 15:58:00 UTC,Pacific Time (US & Canada),"",2017-06-15 00:16:37 UTC,research,https://www.inaturalist.org/observations/6661009,https://inaturalist-open-data.s3.amazonaws.com/photos/8439273/medium.jpg,,"This is a group of Transient Orca whales sighted off Biz Point (between Anacortes & Deception Pass).

Melisa P, at www.sanjuanorcas.com, identified one of the whales as the female known as T65A (born in 1986) and perhaps her son T65A2 (born in 2004).",5,0,"Washington, US",48.4269038826,-122.7114529412,,,,,true,,Orca,Orcinus orca,Orca
6709327,ee3e459e-fae6-4374-b2b9-97b653f4c908,2017-06-12,2017-06-12 22:43:08 UTC,Pacific Time (US & Canada),Troy Hibbitts,2017-06-18 21:54:17 UTC,research,https://www.inaturalist.org/observations/6709327,https://static.inaturalist.org/photos/8512277/medium.jpeg,,,6,0,United States,48.245024137,-124.677435812,,,,,true,,Orca,Orcinus orca,Orca
7016911,c49c8787-4193-4ced-8628-5e10dea2a071,2017-07-06,,Pacific Time (US & Canada),Shirley,2017-07-11 22:19:47 UTC,research,https://www.inaturalist.org/observations/7016911,https://inaturalist-open-data.s3.amazonaws.com/photos/8995732/medium.jpeg,,"",7,0,"Washington, US",48.7502236396,-122.4853358869,,,,,true,,Orca,Orcinus orca,Orca
7596689,63ebb5b7-b960-4488-86f0-7675ad052bd4,2017-08-21,2017-08-21 23:09:01 UTC,Pacific Time (US & Canada),Anca,2017-08-21 23:13:52 UTC,research,https://www.inaturalist.org/observations/7596689,https://inaturalist-open-data.s3.amazonaws.com/photos/9924971/medium.jpg,,"I saw the whales right after the solar eclipse. They seemed to make more appearances than usual. I don't know if that was a consequence of the eclipse or not. They were grouped into smaller groups, most likely they were hunting.",4,0,United States,48.6433456644,-123.018079705,,,,,true,,Orca,Orcinus orca,Orca
7730975,62d00d67-a888-4ee9-9652-e37236a416fd,2017-08-30,,Pacific Time (US & Canada),Shirley,2017-08-31 23:04:54 UTC,research,https://www.inaturalist.org/observations/7730975,https://inaturalist-open-data.s3.amazonaws.com/photos/10144041/medium.jpeg,,This transient orca was identified by naturalist on board Island Adventures as part of the T36A group. ,7,0,"Washington, US",48.7017825119,-122.6215573092,,,,,true,,Orca,Orcinus orca,Orca
7804255,ad61e7f1-ba03-4606-b223-55e755a4d142,2012-08-19,2012-08-19 16:36:49 UTC,Mountain Time (US & Canada),Mike Andersen,2017-09-06 05:42:45 UTC,research,https://www.inaturalist.org/observations/7804255,https://inaturalist-open-data.s3.amazonaws.com/photos/10263217/medium.jpg,,"San Juan Islands, Washington 19 August 2012",7,0,"Washington, US",48.7029649786,-123.1876358995,,,,,true,,Orca,Orcinus orca,Orca
7859336,e8755874-0a34-4b3d-9083-dfa922bd7905,2017-08-31,2017-09-01 02:44:05 UTC,Eastern Time (US & Canada),,2017-09-10 12:21:12 UTC,research,https://www.inaturalist.org/observations/7859336,https://static.inaturalist.org/photos/10353071/medium.jpg,,,7,0,"Washington, US",47.7462282561,-122.5822483526,,,,,true,,Orca,Orcinus orca,Orca
7876687,a735477a-6513-4ad5-9899-f0cfcce189cb,2017-09-10,2017-09-11 00:46:00 UTC,Pacific Time (US & Canada),Brandon Hawn,2017-09-11 14:42:51 UTC,research,https://www.inaturalist.org/observations/7876687,https://inaturalist-open-data.s3.amazonaws.com/photos/10382500/medium.jpeg,,"Three transient whales.  One male, one female, one female/immature.",10,0,"Washington, US",47.3594390295,-122.5000279623,,,,,true,,Orca,Orcinus orca,Orca
7912778,773181aa-4bc2-46b2-8a58-9ed35f9a65bd,2017-09-10,2017-09-11 00:47:56 UTC,Pacific Time (US & Canada),Zach Hawn,2017-09-14 04:55:41 UTC,research,https://www.inaturalist.org/observations/7912778,https://inaturalist-open-data.s3.amazonaws.com/photos/10441850/medium.jpg,,Point Defiance Park,8,0,"Washington, US",47.2581049336,-122.4808922949,,,,,true,,Orca,Orcinus orca,Orca
7987077,a4f752df-bd65-46a5-93c9-d5feba420e27,2017-08-30,2017-08-30 20:18:00 UTC,Mountain Time (US & Canada),"",2017-09-19 00:20:01 UTC,research,https://www.inaturalist.org/observations/7987077,https://inaturalist-open-data.s3.amazonaws.com/photos/10561356/medium.jpeg,,Observed all along the NW coast of Orcas Island. I believe our captain said these are members of the T-31 pod. Could be wrong about pod designation.,6,0,"Washington, US",48.6377890166,-122.9819413961,,,,,true,,Orca,Orcinus orca,Orca
8512064,e3b70cf4-7b12-4958-98ad-fc982f846059,2010-09-29,2010-09-29 19:04:00 UTC,Eastern Time (US & Canada),Paul Tavares,2017-10-22 23:27:59 UTC,research,https://www.inaturalist.org/observations/8512064,https://inaturalist-open-data.s3.amazonaws.com/photos/11360937/medium.jpg,,"Strait of Georgia, British Columbia, Canada",6,0,"Washington, US",48.539779684,-123.1203725655,,,,,true,,Orca,Orcinus orca,Orca
8527898,2ab9873f-7d26-4225-ac81-9370a3e0c26a,2017-10-22,2017-10-23 03:42:00 UTC,Pacific Time (US & Canada),"",2017-10-24 03:43:19 UTC,research,https://www.inaturalist.org/observations/8527898,https://inaturalist-open-data.s3.amazonaws.com/photos/11388244/medium.png,,Transient orca hunting harbor seals.,9,0,"Washington, US",48.0106425954,-122.4240961549,,,,,true,,Orca,Orcinus orca,Orca
8607006,7f8d45d7-376e-48a4-bca6-4b10a393dcec,2017-08-29,2017-08-29 22:39:00 UTC,Eastern Time (US & Canada),,2017-10-29 23:10:40 UTC,research,https://www.inaturalist.org/observations/8607006,https://inaturalist-open-data.s3.amazonaws.com/photos/11510207/medium.jpeg,,,6,0,"Washington, US",48.3201964792,-123.3303522038,,,,,true,,Orca,Orcinus orca,Orca
8607007,7632be20-fc71-401b-bf95-e33f056f2fe7,2017-08-29,2017-08-29 22:42:00 UTC,Eastern Time (US & Canada),,2017-10-29 23:10:41 UTC,research,https://www.inaturalist.org/observations/8607007,https://inaturalist-open-data.s3.amazonaws.com/photos/11510214/medium.jpeg,,,6,0,"Washington, US",48.2048314684,-123.3891192719,,,,,true,,Orca,Orcinus orca,Orca
8607008,e9a2e33a-3a96-4a01-a3fa-46ace812f44c,2017-08-29,2017-08-29 22:42:00 UTC,Eastern Time (US & Canada),,2017-10-29 23:10:41 UTC,research,https://www.inaturalist.org/observations/8607008,https://inaturalist-open-data.s3.amazonaws.com/photos/11510210/medium.jpeg,,,6,0,"Washington, US",48.271532742,-123.3115574261,,,,,true,,Orca,Orcinus orca,Orca
8607013,a8cc1819-f401-4846-804a-828b3d65e3e8,2017-08-29,2017-08-29 22:39:00 UTC,Eastern Time (US & Canada),,2017-10-29 23:10:42 UTC,research,https://www.inaturalist.org/observations/8607013,https://inaturalist-open-data.s3.amazonaws.com/photos/11510222/medium.jpeg,,,6,0,"Washington, US",48.370659896,-123.3519813715,,,,,true,,Orca,Orcinus orca,Orca
